GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
397         1600        0.944       0.488       0.319       
398         1600        0.944       0.479       0.322       
399         1600        0.944       0.492       0.323       
400         1600        0.944       0.483       0.330       
401         1600        0.944       0.476       0.330       
402         1600        0.944       0.480       0.327       
403         1600        0.944       0.478       0.327       
404         1600        0.944       0.482       0.322       
405         1600        0.944       0.473       0.325       
406         1600        0.944       0.484       0.332       
407         1600        0.944       0.490       0.329       
408         1600        0.944       0.489       0.327       
409         1600        0.944       0.475       0.325       
410         1600        0.947       0.499       0.324       
411         1600        0.947       0.505       0.327       
412         1600        0.950       0.490       0.334       
413         1600        0.950       0.488       0.336       
414         1600        0.952       0.502       0.330       
415         1600        0.952       0.517       0.333       
416         1600        0.962       0.501       0.338       
417         1600        0.963       0.506       0.335       
418         1600        0.963       0.517       0.336       
419         1600        0.963       0.509       0.336       
420         1600        0.963       0.501       0.341       
421         1600        0.983       0.504       0.344       
422         1600        0.963       0.521       0.341       
423         1600        0.963       0.509       0.344       
424         1600        0.969       0.506       0.337       
425         1600        0.969       0.508       0.341       
426         1600        0.969       0.517       0.338       
427         1600        0.969       0.521       0.344       
428         1600        0.969       0.512       0.351       
429         1600        0.969       0.513       0.342       
430         1600        0.969       0.503       0.353       
431         1600        0.973       0.512       0.348       
432         1600        0.973       0.525       0.346       
433         1600        0.973       0.515       0.354       
434         1600        0.986       0.529       0.349       
435         1600        0.973       0.511       0.353       
436         1600        0.993       0.537       0.352       
437         1600        0.995       0.537       0.355       
438         1600        0.995       0.543       0.358       
439         1600        0.995       0.538       0.355       
440         1600        0.995       0.532       0.361       
441         1600        0.995       0.536       0.361       
442         1600        0.995       0.528       0.359       
443         1600        0.995       0.538       0.360       
444         1600        0.995       0.533       0.354       
445         1600        0.995       0.536       0.356       
446         1600        0.996       0.552       0.353       
447         1600        0.996       0.545       0.360       
448         1600        1.000       0.552       0.366       
449         1600        1.000       0.557       0.365       
450         1600        1.000       0.552       0.365       
451         1600        1.000       0.551       0.362       
452         1600        1.006       0.560       0.366       
453         1600        1.000       0.561       0.364       
454         1600        1.000       0.569       0.366       
455         1600        1.004       0.558       0.367       
456         1600        0.998       0.555       0.373       
457         1600        1.034       0.557       0.371       
458         1600        0.998       0.560       0.370       
459         1600        0.998       0.568       0.364       
460         1600        1.013       0.577       0.362       
461         1600        1.013       0.571       0.366       
462         1600        1.013       0.567       0.370       
463         1600        1.013       0.569       0.374       
464         1600        1.013       0.573       0.375       
465         1600        1.013       0.574       0.371       
466         1600        1.023       0.583       0.373       
467         1600        1.023       0.564       0.377       
468         1600        1.039       0.547       0.378       
469         1600        1.029       0.565       0.374       
470         1600        1.032       0.583       0.372       
471         1600        1.032       0.590       0.376       
472         1600        1.032       0.580       0.378       
473         1600        1.032       0.601       0.376       
474         1600        1.032       0.576       0.381       
475         1600        1.038       0.587       0.382       
476         1600        1.032       0.583       0.384       
477         1600        1.032       0.585       0.385       
